Date,avg_rebase,apy,5_Day_ROI
16-06-2021,0.007254047283,274302.05%,11.45%
17-06-2021,0.00695284525,197253.80%,10.95%
18-06-2021,0.006582421115,132588.62%,10.34%
19-06-2021,0.006349855901,102486.04%,9.96%
20-06-2021,0.006193962437,86484.36%,9.70%
21-06-2021,0.005971740476,68833.72%,9.34%
22-06-2021,0.00606347197,74980.93%,9.49%
23-06-2021,0.005888688661,61998.11%,9.21%
24-06-2021,0.005770252313,54503.37%,9.01%
25-06-2021,0.00567175093,48966.35%,8.85%
26-06-2021,0.005542856221,42541.33%,8.64%
27-06-2021,0.005458931228,38819.01%,8.51%
28-06-2021,0.005378363905,35557.78%,8.38%
29-06-2021,0.005285882257,32159.54%,8.23%
30-06-2021,0.00520094606,29316.76%,8.09%
01-07-2021,0.0051098598,26538.99%,7.95%
02-07-2021,0.005047171487,24792.19%,7.84%
03-07-2021,0.004969798825,22780.39%,7.72%
04-07-2021,0.004909244784,21332.96%,7.62%
05-07-2021,0.004832395135,19614.49%,7.50%
06-07-2021,0.004777378208,18471.94%,7.41%
07-07-2021,0.004764904789,18227.99%,7.39%
08-07-2021,0.004722168125,17392.20%,7.32%
09-07-2021,0.004692283772,16836.22%,7.27%
10-07-2021,0.00465455025,16157.09%,7.21%
11-07-2021,0.004621744417,15589.17%,7.16%
12-07-2021,0.004621450246,15584.39%,7.16%
13-07-2021,0.004616853943,15506.14%,7.15%
14-07-2021,0.004606939835,15339.55%,7.14%
15-07-2021,0.004604977375,15306.80%,7.13%
16-07-2021,0.004608173628,15360.55%,7.14%
17-07-2021,0.004619332519,15548.09%,7.16%
18-07-2021,0.004621269995,15581.11%,7.16%
19-07-2021,0.004619038564,15543.25%,7.16%
20-07-2021,0.004630061762,15732.27%,7.17%
21-07-2021,0.004610309528,15395.95%,7.14%
22-07-2021,0.004614629007,15468.77%,7.15%
23-07-2021,0.00460426945,15295.08%,7.13%
24-07-2021,0.00461140533,15414.92%,7.14%
25-07-2021,0.004605490182,15315.26%,7.14%
26-07-2021,0.004614422077,15465.31%,7.15%
27-07-2021,0.004616019606,15492.07%,7.15%
28-07-2021,0.004612609472,15434.57%,7.15%
29-07-2021,0.004631473546,15756.72%,7.18%
30-07-2021,0.004637271086,15855.65%,7.19%
31-07-2021,0.00466556127,16353.07%,7.23%
01-08-2021,0.004695752397,16899.21%,7.28%
02-08-2021,0.004710151671,17166.19%,7.30%
03-08-2021,0.004709556511,17154.78%,7.30%
04-08-2021,0.004708105307,17127.70%,7.30%
05-08-2021,0.00471105269,17182.74%,7.30%
06-08-2021,0.004708050614,17126.61%,7.30%
07-08-2021,0.004706977492,17106.60%,7.30%
08-08-2021,0.004705865041,17085.85%,7.30%
09-08-2021,0.004710087706,17164.84%,7.30%
10-08-2021,0.004719176481,17335.78%,7.32%
11-08-2021,0.004737580974,17688.28%,7.35%
12-08-2021,0.004736343157,17662.95%,7.34%
13-08-2021,0.004733257754,17604.16%,7.34%
14-08-2021,0.004753331769,17993.74%,7.37%
15-08-2021,0.004760775249,18139.64%,7.38%
16-08-2021,0.004760028459,18125.15%,7.38%
17-08-2021,0.004772806532,18379.17%,7.40%
18-08-2021,0.004789321725,18712.73%,7.43%
19-08-2021,0.004768196889,18287.01%,7.40%
20-08-2021,0.004755280678,18031.25%,7.38%
21-08-2021,0.004763088668,18185.42%,7.39%
22-08-2021,0.004752992801,17989.95%,7.37%
23-08-2021,0.004689419463,16784.83%,7.27%
24-08-2021,0.004620039776,15562.53%,7.16%
25-08-2021,0.004578390634,14871.34%,7.09%
26-08-2021,0.004516480366,13901.58%,6.99%
27-08-2021,0.004452520336,12964.67%,6.89%
28-08-2021,0.004390276202,12115.07%,6.79%
29-08-2021,0.004334733904,11401.99%,6.70%
30-08-2021,0.004283316946,10780.70%,6.62%
31-08-2021,0.00423976172,10281.14%,6.55%
01-09-2021,0.004183178185,9665.53%,6.46%
02-09-2021,0.004133767441,9157.70%,6.38%
03-09-2021,0.004084943738,8683.86%,6.31%
04-09-2021,0.004032993928,8205.37%,6.22%
05-09-2021,0.004011388495,8013.27%,6.19%
06-09-2021,0.004000982705,7922.90%,6.17%
07-09-2021,0.003994448774,7866.67%,6.16%
08-09-2021,0.003994260513,7865.01%,6.16%
09-09-2021,0.003980497482,7747.83%,6.14%
10-09-2021,0.003971083433,7668.76%,6.13%
11-09-2021,0.003965165141,7619.41%,6.12%
12-09-2021,0.003960501412,7580.68%,6.11%
13-09-2021,0.003960345273,7579.37%,6.11%
14-09-2021,0.003957588253,7556.64%,6.10%
15-09-2021,0.003954280131,7529.43%,6.10%
16-09-2021,0.003946878323,7468.89%,6.09%
17-09-2021,0.003939819746,7411.62%,6.08%
18-09-2021,0.003933078588,7357.28%,6.06%
19-09-2021,0.003935866219,7379.74%,6.07%
20-09-2021,0.003936735774,7386.72%,6.07%
21-09-2021,0.003933436304,7360.27%,6.07%
22-09-2021,0.003923099289,7277.66%,6.05%
23-09-2021,0.003915797136,7219.99%,6.04%
24-09-2021,0.003919562449,7249.90%,6.04%
25-09-2021,0.003916601925,7226.28%,6.04%
26-09-2021,0.003928631459,7321.69%,6.06%
27-09-2021,0.003922941821,7276.39%,6.05%
28-09-2021,0.003918158786,7238.53%,6.04%
29-09-2021,0.003916214399,7223.18%,6.04%
30-09-2021,0.003915032641,7213.88%,6.04%
01-10-2021,0.003918834694,7243.90%,6.04%
02-10-2021,0.003916986822,7229.26%,6.04%
03-10-2021,0.003917612636,7234.20%,6.04%
04-10-2021,0.00391745961,7233.04%,6.04%
05-10-2021,0.00392429046,7287.08%,6.05%
06-10-2021,0.003924166492,7286.10%,6.05%
07-10-2021,0.003933656566,7361.93%,6.07%
08-10-2021,0.003924475847,7288.59%,6.05%
09-10-2021,0.003924479761,7288.59%,6.05%
10-10-2021,0.0039242405,7286.70%,6.05%
11-10-2021,0.003935709481,7378.45%,6.07%
12-10-2021,0.003951694263,7508.61%,6.09%
13-10-2021,0.003966068068,7626.82%,6.12%
14-10-2021,0.003960567647,7581.26%,6.11%
15-10-2021,0.003980485817,7747.78%,6.14%
16-10-2021,0.003973275315,7687.11%,6.13%
17-10-2021,0.003987576504,7808.20%,6.15%
18-10-2021,0.004007266651,7977.46%,6.18%
19-10-2021,0.004003698107,7946.39%,6.18%
20-10-2021,0.004018231139,8073.47%,6.20%
21-10-2021,0.004039407772,8262.06%,6.23%
22-10-2021,0.004050049819,8358.39%,6.25%
23-10-2021,0.00404593516,8320.99%,6.24%
24-10-2021,0.004041903644,8284.45%,6.24%
25-10-2021,0.004036070531,8231.97%,6.23%
26-10-2021,0.004033449911,8208.58%,6.22%
27-10-2021,0.004043359159,8297.66%,6.24%
28-10-2021,0.004027121061,8152.10%,6.21%
29-10-2021,0.004021497975,8102.14%,6.21%
30-10-2021,0.004020337366,8091.87%,6.20%
31-10-2021,0.004022009798,8106.65%,6.21%
01-11-2021,0.004023243983,8117.56%,6.21%
02-11-2021,0.004019853478,8087.64%,6.20%
03-11-2021,0.00402329651,8118.17%,6.21%
04-11-2021,0.004036481465,8235.75%,6.23%
05-11-2021,0.0040456134,8318.14%,6.24%
06-11-2021,0.004050366598,8361.26%,6.25%
07-11-2021,0.004040091766,8268.30%,6.23%
08-11-2021,0.004025555986,8138.07%,6.21%
09-11-2021,0.00401832664,8074.15%,6.20%
10-11-2021,0.004019875189,8087.80%,6.20%
11-11-2021,0.004024708062,8130.64%,6.21%
12-11-2021,0.00401871219,8077.64%,6.20%
13-11-2021,0.004010630322,8006.68%,6.19%
14-11-2021,0.003999771139,7912.42%,6.17%
15-11-2021,0.003988441314,7815.23%,6.15%
16-11-2021,0.00399890798,7904.94%,6.17%
17-11-2021,0.004004696868,7955.17%,6.18%
18-11-2021,0.003989242806,7822.05%,6.15%
19-11-2021,0.003983795788,7775.74%,6.15%
20-11-2021,0.003967293422,7637.27%,6.12%
21-11-2021,0.003943562274,7442.19%,6.08%
22-11-2021,0.003920900872,7260.27%,6.05%
23-11-2021,0.003918821539,7243.76%,6.04%
24-11-2021,0.00392588207,7299.76%,6.05%
25-11-2021,0.00391534188,7216.30%,6.04%
26-11-2021,0.003912899578,7197.19%,6.03%
