Date,price,bond_price,discount,7_day_average,APY
20-06-2021,313.37,290.21,8.01%,0.00%,27624.87%
21-06-2021,338.48,311.06,8.89%,0.00%,50033.02%
22-06-2021,295.72,279.59,5.76%,0.00%,5863.01%
23-06-2021,272.73,251.62,8.43%,0.00%,36705.30%
24-06-2021,285.91,267.24,7.04%,0.00%,14250.44%
25-06-2021,290.99,270.75,7.52%,0.00%,19793.70%
26-06-2021,301.99,284.6,6.15%,7.40%,7701.17%
27-06-2021,327.58,305.02,7.43%,7.32%,18614.02%
28-06-2021,337.54,316.46,6.67%,7.00%,11045.19%
29-06-2021,350.19,328.4,6.76%,7.14%,11752.92%
30-06-2021,394.07,368.18,7.07%,6.95%,14547.03%
01-07-2021,438.53,412.04,6.47%,6.87%,9618.28%
02-07-2021,457.54,424.22,7.88%,6.92%,25291.51%
03-07-2021,473.89,445.66,6.37%,6.95%,8974.00%
04-07-2021,483.46,451.44,7.10%,6.90%,14849.66%
05-07-2021,488.33,461.96,5.76%,6.77%,5863.01%
06-07-2021,450.48,428.98,4.99%,6.52%,3397.83%
07-07-2021,376.97,360,4.76%,6.19%,2880.37%
08-07-2021,416.78,393.97,5.79%,6.09%,5987.75%
09-07-2021,387.44,364.19,6.40%,5.88%,9162.73%
10-07-2021,403.99,383.72,5.33%,5.73%,4328.96%
11-07-2021,418.71,397,5.48%,5.50%,4813.82%
12-07-2021,421.3,397.54,5.99%,5.53%,6887.75%
13-07-2021,449.72,425.91,5.61%,5.62%,5276.11%
14-07-2021,482.5,456.66,5.69%,5.76%,5581.65%
15-07-2021,484.13,463.25,4.53%,5.58%,2438.57%
16-07-2021,487.4,459.47,6.10%,5.53%,7437.43%
17-07-2021,539.53,513.44,5.13%,5.50%,3755.20%
18-07-2021,563.42,535.82,5.16%,5.46%,3836.34%
19-07-2021,598.18,571.18,4.76%,5.28%,2880.37%
20-07-2021,523.36,498.86,4.97%,5.19%,3349.53%
21-07-2021,571.81,546.71,4.67%,5.05%,2699.13%
22-07-2021,616.11,589.45,4.55%,5.05%,2474.27%
23-07-2021,630.44,601.42,4.84%,4.87%,3051.17%
24-07-2021,595.99,573.1,3.99%,4.71%,1639.34%
25-07-2021,568.88,543.6,4.67%,4.64%,2699.13%
26-07-2021,531.72,508.89,4.50%,4.60%,2385.93%
27-07-2021,544.92,517.78,5.25%,4.64%,4090.00%
28-07-2021,589.64,560.17,5.28%,4.73%,4178.08%
29-07-2021,518.97,499.72,3.94%,4.64%,1579.34%
30-07-2021,526.09,501.11,5.08%,4.67%,3623.61%
31-07-2021,413.7,400.92,3.42%,4.59%,1064.48%
01-08-2021,403.02,381.92,5.56%,4.72%,5093.44%
02-08-2021,429.26,401.6,6.95%,5.07%,13395.77%
03-08-2021,433.9,411.73,5.47%,5.10%,4779.92%
04-08-2021,451.79,428.19,5.53%,5.14%,4986.79%
05-08-2021,437.46,408.77,7.05%,5.58%,14348.64%
06-08-2021,461.95,434.97,6.23%,5.74%,8142.22%
07-08-2021,460.85,435.23,5.91%,6.10%,6513.00%
08-08-2021,456.42,428.84,6.45%,6.23%,9485.92%
09-08-2021,432.89,409.63,5.69%,6.05%,5581.65%
10-08-2021,411.87,391.47,5.28%,6.02%,4178.08%
11-08-2021,374.08,358.39,4.44%,5.86%,2283.86%
12-08-2021,366.42,344.33,6.47%,5.78%,9618.28%
13-08-2021,364.95,347.69,4.99%,5.60%,3397.83%
14-08-2021,313.65,297.38,5.55%,5.55%,5057.64%
15-08-2021,285.93,270.31,5.81%,5.46%,6072.34%
16-08-2021,283.54,266.55,6.40%,5.56%,9162.73%
17-08-2021,258.15,241.65,6.84%,5.79%,12419.10%
18-08-2021,245.66,232.89,5.50%,5.94%,4882.30%
19-08-2021,276.37,262.21,5.44%,5.79%,4679.63%
20-08-2021,286.13,270.21,5.93%,5.92%,6604.79%
21-08-2021,263.37,249.32,5.66%,5.94%,5465.12%
22-08-2021,263.11,246.53,6.73%,6.07%,11512.22%
23-08-2021,289.3,272.24,6.30%,6.06%,8548.25%
24-08-2021,321.77,302.26,6.48%,6.01%,9685.14%
25-08-2021,300.28,283.56,5.94%,6.07%,6651.15%
26-08-2021,317.53,298.09,6.57%,6.23%,10307.65%
27-08-2021,338.24,318.05,6.39%,6.30%,9099.39%
28-08-2021,355.56,336.94,5.65%,6.29%,5426.80%
29-08-2021,349.41,330.21,5.86%,6.17%,6288.93%
30-08-2021,348.3,330.29,5.50%,6.06%,4882.30%
31-08-2021,322.34,306.33,5.36%,5.90%,4422.00%
01-09-2021,310.16,294.25,5.43%,5.82%,4646.65%
02-09-2021,316.02,298.81,5.77%,5.71%,5904.31%
03-09-2021,322.27,304.09,6.00%,5.65%,6936.04%
04-09-2021,316.49,298.5,6.06%,5.71%,7232.78%
05-09-2021,323.34,307.31,5.44%,5.65%,4679.63%
06-09-2021,337.8,319.07,5.92%,5.71%,6558.74%
07-09-2021,355.15,333.01,6.74%,5.91%,11591.91%
08-09-2021,353.44,330.67,6.90%,6.12%,12942.85%
09-09-2021,378.97,358.51,5.74%,6.11%,5781.25%
10-09-2021,401.86,381.42,5.38%,6.03%,4485.09%
11-09-2021,415.98,395.54,5.22%,5.91%,4003.70%
12-09-2021,436.31,412.45,5.80%,5.96%,6029.90%
13-09-2021,452.37,434.22,4.20%,5.71%,1915.32%
14-09-2021,444.19,427.58,3.96%,5.31%,1603.09%
15-09-2021,466.89,455.81,2.67%,4.71%,584.51%
16-09-2021,481.75,460.2,4.73%,4.57%,2818.71%
17-09-2021,523.21,498.94,4.89%,4.50%,3162.78%
18-09-2021,551.41,527.94,4.46%,4.39%,2317.42%
19-09-2021,566.23,540.39,4.83%,4.25%,3029.30%
20-09-2021,554.67,525.24,5.63%,4.45%,5350.94%
21-09-2021,580,550,5.45%,4.67%,4712.83%
22-09-2021,626.71,597.79,4.85%,4.98%,3073.19%
23-09-2021,658.4,633.29,4.05%,4.88%,1714.15%
24-09-2021,605.67,585,3.58%,4.69%,1203.59%
25-09-2021,632.58,614.71,3.04%,4.49%,790.08%
26-09-2021,581.29,571.86,1.88%,4.07%,289.49%
27-09-2021,615.66,589.46,4.45%,3.90%,2300.58%
28-09-2021,645.81,620.39,4.12%,3.71%,1805.43%
29-09-2021,691.75,663.29,4.31%,3.63%,2076.68%
30-09-2021,742.15,711.66,4.34%,3.67%,2122.85%
01-10-2021,769.79,744.95,3.39%,3.65%,1040.07%
02-10-2021,774.18,740.3,4.61%,3.87%,2584.38%
03-10-2021,815.08,783.6,4.27%,4.21%,2016.58%
04-10-2021,893,847.17,5.46%,4.36%,4746.26%
05-10-2021,913.12,876.75,4.21%,4.37%,1929.49%
06-10-2021,904.24,865.55,4.48%,4.39%,2351.44%
07-10-2021,826.17,794.64,4.04%,4.35%,1701.46%
08-10-2021,857.24,823.05,4.24%,4.47%,1972.58%
09-10-2021,909.73,874.28,4.09%,4.40%,1765.77%
10-10-2021,979.65,935.47,4.74%,4.47%,2839.12%
11-10-2021,1097.28,1044.66,5.06%,4.41%,3572.23%
12-10-2021,1106.57,1026.62,7.84%,4.93%,24613.33%
13-10-2021,1229.87,1160.84,5.99%,5.14%,6887.75%
14-10-2021,1277.54,1239.84,3.15%,5.02%,862.17%
15-10-2021,1022.61,1035.86,-0.26%,4.37%,-17.31%
16-10-2021,1047.24,1000.3,4.72%,4.46%,2798.43%
17-10-2021,938.69,904.27,3.93%,4.35%,1567.58%
18-10-2021,800.61,782.97,2.41%,3.97%,468.84%
19-10-2021,877.83,836.91,4.90%,3.55%,3185.57%
20-10-2021,908.5,856.87,6.03%,3.55%,7082.90%
21-10-2021,959.86,902.01,6.42%,4.02%,9290.69%
22-10-2021,945.64,894.41,5.78%,4.88%,5945.89%
23-10-2021,1042.61,985.81,5.88%,5.05%,6377.64%
24-10-2021,1130.73,1081.65,4.64%,5.15%,2641.16%
25-10-2021,1200.29,1150.62,4.38%,5.43%,2185.93%
26-10-2021,1189.21,1139.79,4.38%,5.36%,2185.93%
27-10-2021,1094.48,1059.21,3.62%,5.01%,1240.86%
28-10-2021,1159.39,1115.28,4.28%,4.71%,2031.45%
29-10-2021,1173.76,1117.78,5.04%,4.60%,3521.55%
30-10-2021,1179.38,1125.81,4.78%,4.45%,2922.20%
31-10-2021,1104.44,1065.57,3.94%,4.35%,1579.34%
01-11-2021,1089.3,1047.64,4.06%,4.30%,1726.92%
02-11-2021,1090.97,1048.11,4.12%,4.26%,1805.43%
03-11-2021,1073.31,1017.05,5.63%,4.55%,5350.94%
04-11-2021,1034.6,986.95,4.84%,4.63%,3051.17%
05-11-2021,961.38,918.6,4.69%,4.58%,2738.44%
06-11-2021,901.74,871.58,3.49%,4.40%,1123.44%
07-11-2021,890.03,853.16,4.36%,4.46%,2154.17%
08-11-2021,956.15,926.82,3.22%,4.34%,911.02%
09-11-2021,962.13,929.37,3.62%,4.26%,1240.86%
10-11-2021,923.86,896.15,3.16%,3.91%,869.01%
11-11-2021,897.98,870.08,3.44%,3.71%,1081.03%
12-11-2021,898.09,860.29,4.42%,3.67%,2250.77%
13-11-2021,883.25,852.52,3.63%,3.69%,1250.33%
14-11-2021,878.35,856.11,2.85%,3.48%,677.88%
15-11-2021,873.63,850.79,2.84%,3.42%,672.38%
16-11-2021,797.48,773.69,3.12%,3.35%,841.96%
17-11-2021,730.76,711.25,2.77%,3.30%,634.93%
18-11-2021,765.98,763.08,1.02%,2.95%,109.77%
19-11-2021,739.79,716.67,3.28%,2.79%,954.84%
